#Hit,Channel,DayTime,Energy,Duration,Amplitude,ASL,FRQC
3815,6,271.357218,1,277,60,25,391
3816,6,271.2156402,1,34,65,25,299
3817,13,271.2105592,0,31,47,21,342
3818,10,270.6661678,3,382,46,27,325
3819,16,270.651517,5,501,48,21,333
3820,6,270.6312855,5,583,74,15,376
3821,10,270.4867722,3,240,47,27,288
3822,13,269.904685,0,5,45,19,360
3823,11,269.7967908,0,1,45,23,429
3824,16,269.6418668,0,1,47,21,402
3825,6,269.6413495,7,661,72,15,290
3826,11,269.465946,0,5,46,23,39
3827,11,269.025074,2,295,47,23,360
3828,10,268.7373568,4,323,49,26,277
3829,6,268.6254642,0,1,51,15,646
3830,20,268.528077,0,22,49,19,325
3831,6,268.4947105,1,9,72,15,338
3832,10,268.421553,4,0,45,27,413
3833,13,268.329994,0,0,45,21,389
3834,6,267.3690912,0,3,52,15,644
3835,6,267.3110392,0,3,57,15,476
3836,6,267.1649725,0,1,49,15,592
3837,6,267.1643678,0,5,60,15,549
3838,6,267.1625212,22,597,81,15,24
3839,6,267.1607672,0,6,66,15,424
3840,12,266.7733008,1,103,47,25,337
3841,6,266.7374955,2,50,64,31,336
3842,6,266.7361212,3,97,77,31,274
3843,6,266.7344532,1,7,68,31,356
3844,6,266.733685,0,6,68,32,356
3845,10,266.7258358,0,1,46,27,348
3846,11,266.6555682,0,65,45,23,436
3847,6,266.6321562,2,148,67,26,368
3848,6,266.6300032,1,276,58,26,393
3849,6,266.6286912,1,7,70,26,326
3850,6,266.5500342,9,366,74,29,298
3851,6,266.5489418,0,1,51,29,688
3852,6,266.5478988,6,99,80,29,278
